Branch,Customer_Name,Row_Type,Qty,Description,Price
Conut - Tyre,Person_0129,ITEM,-1.0,FULL FAT MILK,0.00
Conut - Tyre,Person_0129,ITEM,1.0,FULL FAT MILK,0.00
Conut - Tyre,Person_0129,ITEM,1.0,PISTACHIO MILKSHAKE,893
Conut - Tyre,Person_0129,ITEM,-1.0,PISTACHIO MILKSHAKE,-893
Conut - Tyre,Person_0129,ITEM,-1.0,WHIPPED CREAM...,0.00
Conut - Tyre,Person_0129,ITEM,1.0,WHIPPED CREAM...,0.00
Conut - Tyre,Person_0129,TOTAL,0.0,,0.00
Conut - Tyre,Person_0130,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0130,ITEM,1.0,CHIMNEY THE ONE,1
Conut - Tyre,Person_0130,ITEM,1.0,CLASSIC CHIMNEY,595
Conut - Tyre,Person_0130,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0130,ITEM,1.0,LOTUS SAUCE.,178
Conut - Tyre,Person_0130,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0130,ITEM,1.0,PRESSED,0.00
Conut - Tyre,Person_0130,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0130,ITEM,1.0,STRAWBERRY.,178
Conut - Tyre,Person_0130,ITEM,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0130,TOTAL,10.0,,2
Conut - Tyre,Person_0131,ITEM,1.0,[CHOCOLATE DRESSING],0.00
Conut - Tyre,Person_0131,ITEM,1.0,[CHOCOLATE DRESSING],0.00
Conut - Tyre,Person_0131,ITEM,1.0,CLASSIC CHIMNEY,595
Conut - Tyre,Person_0131,ITEM,1.0,CONUT THE ONE,893
Conut - Tyre,Person_0131,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0131,ITEM,1.0,FULL FAT MILK,0.00
Conut - Tyre,Person_0131,ITEM,1.0,FULL FAT MILK,0.00
Conut - Tyre,Person_0131,ITEM,1.0,MOCHA FRAPPE,536
Conut - Tyre,Person_0131,ITEM,1.0,MOCHA FRAPPE,536
Conut - Tyre,Person_0131,ITEM,1.0,NO TOPPINGS.,0.00
Conut - Tyre,Person_0131,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0131,ITEM,1.0,NUTELLA SPREAD CONUT.,0.00
Conut - Tyre,Person_0131,ITEM,1.0,PRESSED,0.00
Conut - Tyre,Person_0131,ITEM,1.0,REGULAR.,0.00
Conut - Tyre,Person_0131,ITEM,1.0,REGULAR.,0.00
Conut - Tyre,Person_0131,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0131,ITEM,1.0,STRAWBERRY.,178
Conut - Tyre,Person_0131,ITEM,1.0,WHIPPED CREAM...,0.00
Conut - Tyre,Person_0131,ITEM,1.0,WHIPPED CREAM...,0.00
Conut - Tyre,Person_0131,TOTAL,19.0,,2
Conut - Tyre,Person_0132,ITEM,1.0,  BROWNIES,(R)
Conut - Tyre,Person_0132,ITEM,1.0,CONUT PISTACHIO,1
Conut - Tyre,Person_0132,ITEM,1.0,CONUT TRIPLE CHOCOLATE,924
Conut - Tyre,Person_0132,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0132,ITEM,1.0,NO SPREAD..,0.00
Conut - Tyre,Person_0132,ITEM,1.0,NUTELLA SAUCE . (R),0.00
Conut - Tyre,Person_0132,ITEM,1.0,PISTACHIO TOPPING,0.00
Conut - Tyre,Person_0132,ITEM,1.0,  STRAWBERRY,(R)
Conut - Tyre,Person_0132,ITEM,1.0,WHITE CHOCOLATE SPREAD CONUT.,0.00
Conut - Tyre,Person_0132,TOTAL,9.0,,2
Conut - Tyre,Person_0133,ITEM,-1.0,BROWNIES . (R),0.00
Conut - Tyre,Person_0133,ITEM,1.0,BROWNIES . (R),0.00
Conut - Tyre,Person_0133,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  CARAMEL SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,CHIMNEY BERRY MIX,-1
Conut - Tyre,Person_0133,ITEM,1.0,CHIMNEY BERRY MIX,1
Conut - Tyre,Person_0133,ITEM,1.0,CHIMNEY THE ONE,1
Conut - Tyre,Person_0133,ITEM,1.0,CHIMNEY THE ONE,1
Conut - Tyre,Person_0133,ITEM,-1.0,CHIMNEY THE ONE,-1
Conut - Tyre,Person_0133,ITEM,-1.0,CHIMNEY THE ONE,-1
Conut - Tyre,Person_0133,ITEM,-1.0,CHIMNEY TRIPLE CHOCOLATE,-1
Conut - Tyre,Person_0133,ITEM,1.0,CHIMNEY TRIPLE CHOCOLATE,1
Conut - Tyre,Person_0133,ITEM,1.0,CLASSIC CHIMNEY,595
Conut - Tyre,Person_0133,ITEM,1.0,CLASSIC CHIMNEY,595
Conut - Tyre,Person_0133,ITEM,-1.0,CLASSIC CHIMNEY,-595
Conut - Tyre,Person_0133,ITEM,-1.0,CLASSIC CHIMNEY,-595
Conut - Tyre,Person_0133,ITEM,-1.0,DELIVERY CHARGE,-238
Conut - Tyre,Person_0133,ITEM,1.0,DELIVERY CHARGE,238
Conut - Tyre,Person_0133,ITEM,1.0,NO SPREAD,0.00
Conut - Tyre,Person_0133,ITEM,1.0,NO SPREAD,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,NO SPREAD,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,NO SPREAD,0.00
Conut - Tyre,Person_0133,ITEM,-1.0,  NUTELLA SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,-1.0,  NUTELLA SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,1.0,  NUTELLA SAUCE,(R)
Conut - Tyre,Person_0133,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
Conut - Tyre,Person_0133,ITEM,1.0,NUTELLA SPREAD CHIMNEY.,0.00
