Branch,Division,Group,Description,Qty,Total_Amount
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,8.0,2
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,1.0,417
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,47.0,19
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,5.0,2
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,7.0,3
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,4.0,953
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,29.0,6
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,55.0,18
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,ESPRESSO MACCHIATO,1.0,328
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,6.0,3
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,1.0,388
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,HOT CHOCOLATE COMBO,20.0,13
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],69.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],34.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Dressing,[NO DRESSING],57.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],5.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],1.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,73.0,0.00
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,107.0,0.00
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,292.0,0.00
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,9.0,0.00
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,128.0,0.00
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,195.0,0.00
Conut - Tyre,Bev Add-ons,Bev Add-ons,CARAMEL  SAUCE,2.0,180
Conut - Tyre,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,3.0,270
Conut - Tyre,Frappes,Frappes,MOCHA FRAPPE,14.0,7
Conut - Tyre,Frappes,Frappes,CARAMEL MOCHA FRAPPE,10.0,5
Conut - Tyre,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,3.0,1
Conut - Tyre,Frappes,Frappes,CARAMEL FRAPPE,51.0,27
Conut - Tyre,Frappes,Frappes,VANILLA FRAPPE,2.0,1
Conut - Tyre,Frappes,Frappes,WHITE MOCHA FRAPPE,5.0,2
Conut - Tyre,Frappes,Frappes,HAZELNUT FRAPPE,2.0,1
Conut - Tyre,Frappes,Frappes,MATCHA FRAPPE,3.0,1
Conut - Tyre,Frappes,Frappes,SALTED CARAMEL FRAPPE,2.0,1
Conut - Tyre,Frappes,Frappes,ESPRESSO FRAPPE,5.0,2
Conut - Tyre,Frappes,Frappes,TOFFEE NUT FRAPPE,6.0,3
Conut - Tyre,Shakes,Shakes,VANILLA MILKSHAKE,18.0,9
Conut - Tyre,Shakes,Shakes,OREO MILKSHAKE,28.0,20
Conut - Tyre,Shakes,Shakes,STRAWBERRY MILKSHAKE,12.0,8
Conut - Tyre,Shakes,Shakes,MATCHA MILKSHAKE,2.0,1
Conut - Tyre,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,4.0,3
Conut - Tyre,Shakes,Shakes,PISTACHIO MILKSHAKE,8.0,7
Conut - Tyre,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,1.0,774
Conut - Tyre,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,2.0,1
